color,name,japanese,english
0x85754e,Gold Fusion,,gold fusion
0x996515,Golden brown,,golden brown
0xfcc200,Golden poppy,,golden poppy
0xffdf00,Golden yellow,,golden yellow
0xdaa520,Goldenrod,,goldenrod
0x00573f,Gotham green,,gotham green
0x676767,Granite gray,,granite gray
0xa8e4a0,Granny Smith apple,,granny smith apple
0x808080,Gray (web),,gray (web)
0xbebebe,Gray (X11 gray),,gray (x11 gray)
0x00ff00,Green,,green
0x1cac78,Green (Crayola),,green (crayola)
0x008000,Green (web),,green (web)
0x00a877,Green (Munsell),,green (munsell)
0x009f6b,Green (NCS),,green (ncs)
0x00ad43,Green (Pantone),,green (pantone)
0x00a550,Green (pigment),,green (pigment)
0x66b032,Green (RYB),,green (ryb)
0x1164b4,Green-blue,,green-blue
0x2887c8,Green-blue (Crayola),,green-blue (crayola)
0x009966,Green-cyan,,green-cyan
0xa7f432,Green Lizard,,green lizard
0x6eaea1,Green Sheen,,green sheen
0xadff2f,Green-yellow,,green-yellow
0xf0e891,Green-yellow (Crayola),,green-yellow (crayola)
0xa99a86,Grullo,,grullo
0x2a3439,Gunmetal,,gunmetal
0x446ccf,Han blue,,han blue
0x5218fa,Han purple,,han purple
0xe9d66b,Hansa yellow,,hansa yellow
0x3fff00,Harlequin,,harlequin
0xda9100,Harvest gold,,harvest gold
0xff7a00,Heat Wave,,heat wave
0xdf73ff,Heliotrope,,heliotrope
0xaa98a9,Heliotrope gray,,heliotrope gray
0xf400a1,Hollywood cerise,,hollywood cerise
0xf0fff0,Honeydew,,honeydew
0x006db0,Honolulu blue,,honolulu blue
0x49796b,Hooker's green,,hooker's green
0xff1dce,Hot magenta,,hot magenta
0xff69b4,Hot pink,,hot pink
0x355e3b,Hunter green,,hunter green
0x71a6d2,Iceberg,,iceberg
0xfcf75e,Icterine,,icterine
0x319177,Illuminating emerald,,illuminating emerald
0xed2939,Imperial red,,imperial red
0xb2ec5d,Inchworm,,inchworm
0x4c516d,Independence,,independence
0x138808,India green,,india green
0xcd5c5c,Indian red,,indian red
0xe3a857,Indian yellow,,indian yellow
0x4b0082,Indigo,,indigo
0x00416a,Indigo dye,,indigo dye
0xff496c,Infrared,,infrared
0x130a8f,International Klein Blue,,international klein blue
0xff4f00,International orange (aerospace),,international orange (aerospace)
0xba160c,International orange (engineering),,international orange (engineering)
